WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,13,82,1,1,14,13,149,,,,,,,,
1,9,47,1,6,100,4,94,,,,,,,,
8,2,89,5,18,113,25,265,,,,,,,,
8,2,135,1,23,91,3,166,,,,,,,,
1,6,44,9,12,46,10,115,,,,,,,,
1,23,145,0,10,46,9,205,,,,,,,,
1,7,55,0,4,39,49,411,,,,,,,,
1,11,37,5,4,73,6,144,,,,,,,,
1,7,38,13,5,62,1,55,,,,,,,,
8,4,52,5,6,41,1,46,,,,,,,,
1,15,141,8,9,58,14,195,,,,,,,,
1,23,100,4,11,54,8,208,,,,,,,,
1,6,36,2,35,86,3,106,,,,,,,,
1,17,120,4,32,128,10,93,,,,,,,,
8,4,131,2,4,46,10,90,,,,,,,,
1,24,165,5,14,56,7,158,,,,,,,,
1,40,123,7,4,62,10,168,,,,,,,,
1,26,128,10,39,143,64,885,,,,,,,,
1,3,25,5,25,84,3,53,,,,,,,,
8,6,377,1,40,158,4,108,,,,,,,,
1,64,202,3,9,63,8,150,,,,,,,,
8,2,93,16,23,96,6,121,,,,,,,,
1,4,42,0,8,79,27,186,,,,,,,,
1,3,15,2,9,57,2,95,,,,,,,,
8,4,121,2,12,63,2,33,,,,,,,,
1,1,39,11,13,66,1,65,,,,,,,,
1,2,24,20,21,98,28,351,,,,,,,,
8,8,219,4,19,63,9,142,,,,,,,,
1,4,37,2,21,79,4,193,,,,,,,,
1,50,106,1,9,60,16,254,,,,,,,,
1,1,23,1,5,30,9,142,,,,,,,,
1,11,75,12,10,69,15,221,,,,,,,,
1,43,113,10,6,55,13,219,,,,,,,,
1,20,152,2,7,68,1,148,,,,,,,,
1,19,79,7,33,82,9,80,,,,,,,,
1,45,130,2,13,122,9,130,,,,,,,,
1,3,36,1,20,98,5,110,,,,,,,,
8,6,138,4,16,157,14,314,,,,,,,,
1,25,87,1,20,100,6,122,,,,,,,,
8,20,285,11,2,49,45,438,,,,,,,,
1,1,18,18,5,59,19,214,,,,,,,,
1,22,91,1,30,101,7,103,,,,,,,,
1,16,112,6,30,88,5,82,,,,,,,,
1,7,28,0,15,100,5,95,,,,,,,,
1,18,77,5,23,88,18,234,,,,,,,,
8,8,123,23,23,137,8,175,,,,,,,,
1,8,92,0,4,24,1,29,,,,,,,,
1,8,44,1,23,135,3,145,,,,,,,,
1,20,80,21,5,40,10,262,,,,,,,,
1,4,33,0,37,103,5,157,,,,,,,,
1,5,54,15,7,64,13,196,,,,,,,,
1,13,93,7,45,132,4,95,,,,,,,,
1,14,74,5,22,95,4,174,,,,,,,,
1,20,68,6,11,103,5,110,,,,,,,,
1,8,45,1,4,72,3,50,,,,,,,,
1,5,35,2,22,121,18,287,,,,,,,,
1,19,63,11,8,71,7,221,,,,,,,,
8,15,126,2,28,209,3,171,,,,,,,,
1,79,252,5,7,63,8,214,,,,,,,,
1,68,219,2,6,60,1,47,,,,,,,,
1,4,44,3,11,141,11,240,,,,,,,,
1,18,97,10,51,298,17,228,,,,,,,,
1,13,63,1,12,60,2,75,,,,,,,,
1,10,50,8,18,76,11,337,,,,,,,,
1,11,78,0,24,116,9,589,,,,,,,,
8,3,56,8,12,80,4,168,,,,,,,,
8,15,196,9,3,54,5,74,,,,,,,,
1,2,32,1,3,32,5,62,,,,,,,,
1,10,52,3,16,102,3,97,,,,,,,,
1,28,111,1,2,32,12,222,,,,,,,,
1,1,14,8,9,45,13,526,,,,,,,,
1,15,85,6,2,40,10,348,,,,,,,,
1,41,152,6,6,72,3,104,,,,,,,,
1,9,49,7,16,60,9,189,,,,,,,,
1,15,116,5,10,39,1,173,,,,,,,,
1,9,108,2,5,66,12,140,,,,,,,,
8,5,155,14,9,56,1,144,,,,,,,,
1,12,182,8,22,163,1,135,,,,,,,,
1,30,96,0,22,116,2,64,,,,,,,,
1,10,39,13,25,123,24,203,,,,,,,,
1,20,106,4,22,107,11,168,,,,,,,,
8,8,418,16,34,142,6,225,,,,,,,,
8,1,78,4,2,31,6,162,,,,,,,,
1,17,65,2,11,51,2,168,,,,,,,,
1,10,38,4,12,90,1,34,,,,,,,,
8,5,384,11,108,262,2,268,,,,,,,,
1,11,125,23,9,50,4,112,,,,,,,,
1,9,77,7,11,68,8,138,,,,,,,,
1,4,115,3,5,75,3,65,,,,,,,,
1,1,14,9,16,72,9,148,,,,,,,,
1,6,100,5,16,71,1,68,,,,,,,,
1,18,113,1,7,79,11,282,,,,,,,,
1,23,91,8,22,68,8,156,,,,,,,,
1,12,46,1,9,62,2,104,,,,,,,,
8,2,40,6,9,72,2,90,,,,,,,,
1,10,46,2,44,139,1,48,,,,,,,,
1,4,39,7,7,59,32,262,,,,,,,,
8,3,255,7,10,44,7,157,,,,,,,,
8,4,187,12,9,55,3,139,,,,,,,,
1,4,73,6,27,113,3,101,,,,,,,,
8,8,126,3,5,75,49,564,,,,,,,,
1,5,62,2,7,69,3,116,,,,,,,,
